41 41 10 10 -1 -1 10 10 -1 8 9 9 37 -1 1 -1 -1 8 40 8 
8 8 10 10 41 41 33 1 -1 33 33 9 6 9 1 1 3 40 40 8 
8 -1 2 -1 41 33 41 8 1 9 33 9 9 9 9 1 1 40 2 8 
8 8 8 2 -1 41 2 9 8 -1 9 9 9 9 9 10 -1 1 2 2 
2 8 2 5 5 2 9 9 8 -1 -1 9 8 8 9 9 -1 -1 4 8 
-1 2 2 2 33 45 45 9 45 8 9 8 2 2 -1 9 8 4 -1 -1 
2 5 2 2 -1 -1 -1 2 2 4 -1 33 33 2 33 33 41 -1 33 45 
-1 2 -1 2 5 -1 5 -1 2 2 33 33 2 -1 33 -1 -1 41 -1 -1 
2 5 5 -1 5 5 8 8 -1 -1 -1 33 33 33 -1 33 -1 -1 -1 2 
5 5 5 5 -1 5 5 37 33 33 33 33 33 33 33 -1 33 33 -1 5 
5 5 -1 5 5 5 45 33 -1 33 33 33 -1 -1 33 4 33 33 33 -1 
5 -1 5 -1 -1 45 45 -1 -1 -1 -1 -1 -1 -1 33 33 33 41 -1 -1 
33 5 5 4 -1 4 4 45 -1 -1 -1 -1 33 33 33 5 5 -1 33 -1 
-1 5 4 4 -1 45 45 4 4 3 3 33 2 33 33 33 5 33 -1 33 
6 -1 4 4 45 -1 45 4 4 -1 41 3 41 2 41 -1 33 33 5 6 
6 -1 -1 -1 4 4 4 4 -1 4 41 41 41 41 -1 -1 -1 33 10 33 
6 -1 45 45 4 -1 4 4 4 -1 41 41 5 5 41 10 10 45 33 10 
6 10 2 -1 2 -1 -1 -1 -1 -1 -1 41 33 33 5 33 33 45 45 6 
5 2 -1 5 8 2 -1 41 4 -1 -1 -1 33 1 33 33 33 5 5 -1 
5 5 10 5 41 2 41 -1 4 2 10 -1 -1 33 -1 13 -1 -1 -1 -1 
5 5 5 5 -1 7 2 -1 4 -1 2 33 -1 33 33 13 5 5 5 5 
7 5 5 5 5 5 7 4 41 33 41 41 33 33 33 33 33 5 5 37 
-1 7 -1 5 5 5 5 41 41 41 41 41 41 10 10 33 -1 33 5 5 
7 -1 2 2 5 5 -1 41 41 41 41 -1 33 -1 10 33 33 33 -1 -1 
5 2 2 2 2 2 2 2 -1 4 4 8 -1 33 33 33 33 33 33 7 
45 2 45 2 45 -1 -1 2 2 4 10 8 2 33 -1 7 -1 33 -1 45 
5 5 5 5 4 -1 4 32 4 37 45 45 5 -1 -1 -1 5 -1 7 -1 
5 5 5 5 5 4 33 33 32 5 -1 7 5 5 -1 5 5 5 -1 5 
5 5 5 5 5 5 -1 5 5 5 5 5 5 7 5 5 5 5 -1 5 
5 5 5 5 7 5 7 5 5 5 5 5 -1 7 5 7 5 5 5 -1 
-1 7 7 7 7 7 7 5 5 5 4 4 5 -1 6 5 -1 5 5 -1 
