32 32 32 32 32 -1 -1 -1 -1 -1 -1 -1 33 64 64 80 -1 64 -1 -1 
32 32 64 64 64 32 -1 64 -1 -1 -1 -1 -1 64 64 -1 -1 -1 -1 64 
64 -1 -1 64 -1 64 -1 -1 -1 -1 -1 81 64 -1 -1 -1 -1 -1 64 -1 
-1 -1 64 -1 -1 64 -1 -1 -1 -1 81 -1 64 -1 64 -1 -1 64 64 64 
64 64 64 64 -1 64 64 64 -1 81 81 -1 -1 -1 64 -1 -1 64 64 -1 
-1 64 64 64 64 1 64 -1 80 80 81 -1 -1 33 64 64 4 4 64 -1 
64 64 64 -1 1 1 1 1 80 64 -1 -1 -1 33 64 64 64 4 64 -1 
64 64 32 32 1 1 1 1 64 80 80 -1 -1 33 -1 2 2 2 64 -1 
-1 32 64 64 -1 -1 1 -1 64 80 80 80 34 34 -1 2 2 2 64 64 
64 -1 -1 -1 1 -1 1 -1 64 80 80 32 42 42 34 34 2 64 -1 64 
64 64 64 32 1 -1 32 32 -1 -1 -1 -1 32 34 -1 -1 64 -1 64 -1 
-1 -1 9 64 80 80 80 80 1 -1 -1 64 64 8 64 64 -1 64 1 1 
1 33 33 80 80 80 80 80 64 64 64 64 10 -1 -1 64 -1 1 64 -1 
64 33 33 80 33 -1 80 33 64 64 64 -1 64 64 -1 -1 64 64 -1 64 
-1 -1 33 -1 -1 33 33 -1 1 1 1 -1 64 64 64 -1 64 64 -1 80 
64 64 33 33 33 33 33 1 1 1 -1 -1 -1 64 64 64 -1 -1 80 80 
33 33 64 -1 64 33 -1 33 -1 64 -1 -1 64 64 64 64 -1 80 -1 80 
80 64 -1 -1 -1 -1 -1 32 32 32 -1 -1 -1 32 32 -1 -1 -1 -1 -1 
-1 -1 -1 -1 64 -1 -1 32 32 32 64 -1 -1 -1 32 -1 -1 -1 -1 -1 
64 64 -1 64 64 1 1 32 32 -1 64 64 64 -1 64 64 64 64 64 -1 
16 64 -1 64 64 -1 -1 32 32 -1 -1 64 64 64 64 16 16 16 65 64 
64 16 16 16 64 -1 -1 32 -1 32 -1 -1 64 64 64 16 -1 16 16 64 
64 -1 16 -1 16 -1 32 32 40 32 64 64 64 64 -1 -1 16 -1 -1 64 
64 64 -1 -1 64 -1 32 40 -1 64 64 64 64 40 -1 32 32 64 64 64 
-1 -1 -1 64 -1 -1 40 -1 -1 32 64 64 40 32 -1 80 32 32 64 64 
64 64 -1 -1 64 64 64 64 -1 40 32 -1 -1 32 80 -1 64 32 64 64 
64 64 64 -1 64 64 64 64 64 -1 -1 -1 -1 64 -1 -1 -1 64 64 64 
64 64 -1 -1 -1 1 64 64 64 -1 -1 -1 -1 64 -1 -1 -1 80 80 64 
-1 -1 -1 -1 -1 -1 64 64 64 -1 -1 -1 -1 64 -1 64 80 80 64 64 
80 80 64 64 9 64 64 64 64 -1 -1 -1 -1 64 64 -1 -1 -1 64 -1 
80 80 9 9 9 9 80 64 80 -1 -1 64 -1 8 64 64 -1 1 1 1 
90 80 64 64 82 82 -1 66 64 -1 66 -1 64 64 64 64 64 -1 64 90 
64 80 64 64 82 -1 82 64 66 64 -1 66 8 -1 64 64 64 64 64 64 
64 90 90 90 80 80 64 64 64 64 66 64 8 64 64 64 -1 64 64 64 
-1 -1 -1 -1 64 66 66 66 64 64 64 64 64 64 64 64 64 -1 64 -1 
-1 -1 -1 64 -1 -1 -1 64 64 64 64 64 64 -1 -1 -1 -1 64 -1 -1 
64 64 64 -1 80 -1 64 64 64 64 64 64 -1 -1 -1 -1 64 -1 64 -1 
-1 -1 80 80 64 64 64 64 64 64 -1 64 64 64 -1 -1 80 64 64 64 
80 80 80 64 16 64 64 64 64 64 64 -1 64 64 64 64 64 80 64 -1 
80 80 -1 16 80 64 64 -1 64 64 64 -1 64 64 64 64 64 64 -1 65 
-1 -1 -1 64 64 4 64 64 -1 64 -1 64 1 64 64 64 -1 64 65 80 
-1 -1 72 72 4 64 64 -1 -1 -1 64 1 64 64 64 65 65 64 64 64 
65 80 80 -1 64 64 80 80 -1 -1 -1 64 1 -1 64 65 -1 64 64 -1 
65 80 80 64 64 64 64 -1 -1 -1 64 -1 -1 80 -1 65 65 64 -1 64 
80 80 80 64 64 33 33 -1 -1 -1 -1 64 80 80 66 -1 -1 -1 -1 -1 
80 33 64 33 64 33 -1 -1 -1 -1 -1 80 80 -1 -1 65 64 64 64 33 
33 -1 33 -1 80 81 -1 16 16 64 80 80 80 -1 -1 65 -1 64 64 64 
16 33 64 64 80 -1 32 32 -1 -1 64 -1 -1 -1 -1 64 64 64 64 64 
64 16 -1 64 -1 -1 -1 64 64 -1 -1 64 64 -1 -1 -1 -1 64 64 -1 
64 64 64 -1 80 80 -1 64 1 1 64 64 -1 -1 64 64 64 -1 -1 64 
90 -1 64 82 82 82 82 66 -1 66 -1 32 -1 64 64 64 64 -1 64 -1 
64 -1 64 -1 64 64 64 -1 64 -1 64 64 64 64 64 64 64 64 64 64 
64 64 64 -1 64 64 64 42 -1 64 64 64 64 64 64 -1 64 -1 64 64 
64 64 -1 64 -1 64 64 34 34 64 64 64 64 64 64 64 -1 64 64 64 
64 64 -1 64 64 64 34 64 64 34 64 64 80 64 64 80 80 64 64 64 
64 64 64 64 64 64 -1 -1 34 64 -1 -1 80 82 82 64 64 64 80 -1 
-1 64 64 64 -1 64 64 64 66 -1 -1 -1 -1 34 82 64 64 64 -1 -1 
64 -1 64 64 -1 64 64 -1 66 66 -1 -1 66 -1 82 -1 -1 64 -1 -1 
64 16 64 64 64 64 -1 64 66 66 66 66 64 -1 -1 -1 -1 -1 -1 64 
16 64 16 64 64 -1 -1 64 64 16 -1 -1 64 66 64 -1 -1 16 16 -1 
-1 65 -1 65 -1 -1 64 -1 18 16 66 64 -1 66 -1 64 64 32 -1 16 
-1 65 65 65 -1 -1 18 18 64 64 66 64 66 66 64 64 64 -1 -1 -1 
-1 -1 65 -1 -1 -1 -1 66 -1 82 66 64 66 66 66 64 64 -1 -1 -1 
32 -1 65 90 82 -1 -1 66 66 82 64 64 -1 66 64 64 -1 64 -1 65 
-1 65 -1 64 90 -1 -1 -1 64 64 -1 64 64 -1 64 -1 -1 -1 4 65 
65 -1 90 88 -1 -1 -1 -1 64 64 64 64 64 64 64 4 -1 -1 4 -1 
